Software Number,SW Description,Format
X09-70409,SW CD SharePoint Portal Svr 2003 Russian MLF,EXE
X09-70410,SW CD SharePoint Portal Svr 2003 Turkish MLF,EXE
X09-70411,SW CD InfoPath 2003 W32 Polish MLF,EXE
X09-70605,SW CD NTRL Proofing Tools 2003 W32 Brazilian ProdAct Bypass,EXE
X09-70606,SW CD NTRL Proofing Tools 2003 W32 Dutch ProdAct Bypass,EXE
X09-70607,SW CD NTRL Proofing Tools 2003 W32 French ProdAct Bypass,EXE
X09-70608,SW CD NTRL Proofing Tools 2003 W32 German ProdAct Bypass,EXE
X09-70609,SW CD NTRL Proofing Tools 2003 W32 Italian ProdAct Bypass,EXE
X09-70610,SW CD NTRL Proofing Tools 2003 W32 Spanish ProdAct Bypass,EXE
X09-70611,SW CD NTRL Proofing Tools 2003 W32 Swedish ProdAct Bypass,EXE
X09-70935,SW CD InfoPath 2003 W32 Czech MLF,EXE
X09-70936,SW CD InfoPath 2003 W32 Hungarian MLF,EXE
X09-74036,SW CD NTRL Outlook 2003 W32 ChnTrad #1 PA BP for Svr,EXE
X09-74231,SW CD NTRL Office 2003 W32 Arabic #1 MultiLangConten,EXE
X09-74233,SW CD NTRL Office 2003 W32 English #1 MultiLangConten,EXE
X09-75109,SW CD NTRL Outlook 2003 W32 Arabic #1 PA BP,EXE
X09-75111,SW CD NTRL Outlook 2003 W32 Hebrew #1 PA BP,EXE
X09-76976,SW CD NTRL Outlook 2003 W32 ChnSimp #1 PA BP for Svr,EXE
X09-78452,SW CD Entourage Mac 10.0 MAC English #1 Rev10.1.4 MLF,EXE
X09-78453,SW CD Entourage Mac 10.0 MAC French #1 Rev10.1.4 MLF,TXT
X09-78454,SW CD Entourage Mac 10.0 MAC German #1 Rev10.1.4 MLF,EXE
X09-78455,SW CD Entourage Mac 10.0 MAC Japanese #1 Rev10.1.4 MLF,EXE
X09-78456,SW CD Entourage Mac 10.0 MAC Spanish #1 Rev10.1.4 MLF,EXE
X09-78458,SW CD Entourage Mac 10.0 MAC Swedish #1 Rev10.1.4 MLF,ISO
X09-79533,SW CD Class Server 3.0SP1 W32 English -2 #1,EXE
X09-79574,SW CD Office Pro 2003 W32 English MultiLang #1 EntIntrfacePack MLF,EXE
X09-79575,SW CD Office Pro 2003 W32 English MultiLang #2 EntIntrfacePack MLF,EXE
X09-79576,SW CD Office Pro 2003 W32 English MultiLang #3 EntIntrfacePack MLF,EXE
X09-79577,SW CD Office Pro 2003 W32 English MultiLang #4 EntIntrfacePack MLF,EXE
X09-79579,SW CD Office Pro 2003 W32 English MultiLang #5 EntIntrfacePack MLF,EXE
X09-79581,SW CD Office Pro 2003 W32 English MultiLang #6 EntIntrfacePack MLF,EXE
X09-80533,SW CD Virtual PC 2004 W32 English #1 Pre-Pidded MLF,EXE
X09-80542,SW CD Virtual PC 2004 W32 French #1 Pre-Pidded MLF,EXE
X09-80543,SW CD Virtual PC 2004 W32 German #1 Pre-Pidded MLF,EXE
X09-80545,SW CD Virtual PC 2004 W32 Italian #1 Pre-Pidded MLF,EXE
X09-80546,SW CD Virtual PC 2004 W32 Japanese #1 Pre-Pidded MLF,EXE
X09-80548,SW CD Virtual PC 2004 W32 Spanish #1 Pre-Pidded MLF,EXE
X09-81778,SW CD NTRL Outlook 2003 W32 Czech #1 PA BP,EXE
X09-81823,SW CD NTRL Outlook 2003 W32 Hungarian #1 PA BP,EXE
X09-81945,SW CD NTRL Access 2003 W32 ChnSimp #1 PA BP,EXE
X09-87755,SW CD NTRL Access 2003 W32 ChnTrad Hong Kong #1 PA BP,EXE
X09-89775,SW CD Exchange Svr Ent 2003 ChnSimp MLF,EXE
X09-89776,SW CD Exchange Svr Ent 2003 ChnTrad MLF,EXE
X09-89777,SW CD Exchange Svr Ent 2003 English MLF,EXE
X09-89778,SW CD Exchange Svr Ent 2003 French MLF,EXE
X09-89779,SW CD Exchange Svr Ent 2003 German MLF,EXE
X09-89780,SW CD Exchange Svr Ent 2003 Italian MLF,EXE
X09-89781,SW CD Exchange Svr Ent 2003 Japanese MLF,EXE
X09-89782,SW CD Exchange Svr Ent 2003 Korean MLF,EXE
X09-89783,SW CD Exchange Svr Ent 2003 Spanish MLF,EXE
X09-89784,SW CD Exchange Svr 2003 ChnSimp MLF,EXE
X09-89785,SW CD Exchange Svr 2003 ChnTrad MLF,EXE
X09-89786,SW CD Exchange Svr 2003 English MLF,EXE
X09-89787,SW CD Exchange Svr 2003 French MLF,EXE
X09-89788,SW CD Exchange Svr 2003 German MLF,EXE
X09-89789,SW CD Exchange Svr 2003 Italian MLF,EXE
X09-89790,SW CD Exchange Svr 2003 Japanese MLF,EXE
X09-89791,SW CD Exchange Svr 2003 Korean MLF,EXE
X09-89792,SW CD Exchange Svr 2003 Spanish MLF,EXE
X09-91465,SW CD NTRL Outlook 2003 W32 Brazilian #1 PA BP for Svr,EXE
